Date,Price
9/2/2018,7184
9/1/2018,7010
8/31/2018,6969.05
8/30/2018,7012.4
8/29/2018,7042.08
8/28/2018,6859.3
8/27/2018,6701.6
8/26/2018,6750
8/25/2018,6699.6
8/24/2018,6534.52
8/23/2018,6432.6
8/22/2018,6480.25
8/21/2018,6325.1
8/20/2018,6500
8/19/2018,6408.4
8/18/2018,6546.28
8/17/2018,6300
8/16/2018,6263.47
8/15/2018,6253
8/14/2018,6367.17
8/13/2018,6390.96
8/12/2018,6340
8/11/2018,6198.22
8/10/2018,6578.9
8/9/2018,6314.1
8/8/2018,6757.2
8/7/2018,6931
8/6/2018,7053.07
8/5/2018,7056.03
8/4/2018,7416.74
8/3/2018,7567.16
8/2/2018,7610
8/1/2018,7759.68
7/31/2018,8183.43
7/30/2018,8180
7/29/2018,8209
7/28/2018,8141.41
7/27/2018,7975.8
7/26/2018,8098.99
7/25/2018,8358.42
7/24/2018,7740.62
7/23/2018,7405.8
7/22/2018,7406.4
7/21/2018,7388.16
7/20/2018,7427.1
7/19/2018,7344.9
7/18/2018,7297.9
7/17/2018,6675
7/16/2018,6369
7/15/2018,6280
7/14/2018,6264.81
7/13/2018,6293.2
7/12/2018,6413.23
7/11/2018,6372.44
7/10/2018,6695.4
7/9/2018,6714.5
7/8/2018,6752.39
7/7/2018,6627.52
7/6/2018,6584.8
7/5/2018,6608.27
7/4/2018,6530.59
7/3/2018,6560.1
7/2/2018,6324.94
7/1/2018,6358.5
6/30/2018,6278.26
6/29/2018,5946.72
6/28/2018,6132.4
6/27/2018,6155.2
6/26/2018,6335.44
6/25/2018,6296.98
6/24/2018,6310
6/23/2018,6220.43
6/22/2018,6703
6/21/2018,6724
6/20/2018,6749.9
6/19/2018,6779
6/18/2018,6614.68
6/17/2018,6645.05
6/16/2018,6573.3
6/15/2018,6708
6/14/2018,6423.4
6/13/2018,6704.1
6/12/2018,6976.16
6/11/2018,6885.95
6/10/2018,7517.58
6/9/2018,7641.53
6/8/2018,7628.92
6/7/2018,7605
6/6/2018,7557.4
6/5/2018,7493.87
6/4/2018,7633.48
6/3/2018,7583.8
6/2/2018,7482.06
6/1/2018,7449
5/31/2018,7381.2
5/30/2018,7433.15
5/29/2018,7225.5
5/28/2018,7426.8
5/27/2018,7415.18
5/26/2018,7553.16
5/25/2018,7586.7
5/24/2018,7573.26
5/23/2018,8073
5/22/2018,8360.25
5/21/2018,8470
5/20/2018,8199
5/19/2018,8197.77
5/18/2018,8125.73
5/17/2018,8308.84
5/16/2018,8431.17
5/15/2018,8581.6
5/14/2018,8762.3
5/13/2018,8608
5/12/2018,8581.81
5/11/2018,9073.25
5/10/2018,9293.43
5/9/2018,9220
5/8/2018,9412
5/7/2018,9560
5/6/2018,9579.1
5/5/2018,9482.2
5/4/2018,9494.55
5/3/2018,9164
5/2/2018,9048
5/1/2018,9291.05
4/30/2018,9359.23
4/29/2018,9271
4/28/2018,8822
4/27/2018,9199.01
4/26/2018,8825
4/25/2018,9555
4/24/2018,8870.01
4/23/2018,8807
4/22/2018,8850
4/21/2018,8693.9
4/20/2018,8272
4/19/2018,8117.96
4/18/2018,7989.1
4/17/2018,8099.19
4/16/2018,8343
4/15/2018,8027.02
4/14/2018,7939.94
4/13/2018,7903.5
4/12/2018,6970.72
4/11/2018,6952.56
4/10/2018,6920
4/9/2018,7054.1
4/8/2018,6982
4/7/2018,6800.31
4/6/2018,6976.9
4/5/2018,6948.07
4/4/2018,7539.94
4/3/2018,7184.67
4/2/2018,7039.94
4/1/2018,7158.97
3/31/2018,7145
3/30/2018,7385.31
3/29/2018,8240.2
3/28/2018,8167
3/27/2018,8450
